epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7045,1.02593,1.41494,1.21217,0.89903,0.87577,0.93755,0.65699,1.05578,1.15612,1.3,0.000663743,0.000663743,0.000663743
2,93.3106,1.01741,0.78055,1.16931,0.95736,0.88525,0.94711,0.67203,1.08054,0.81161,1.31395,0.00131724,0.00131724,0.00131724
3,134.113,1.01188,0.65377,1.16438,0.97266,0.94965,0.97769,0.67318,1.07504,0.60617,1.30841,0.00195753,0.00195753,0.00195753
4,175.657,0.97618,0.58609,1.14041,0.97173,0.96613,0.98941,0.74994,0.90177,0.50932,1.17512,0.0019406,0.0019406,0.0019406
5,218.353,0.95274,0.55122,1.12735,0.97753,0.9678,0.99155,0.75159,0.90281,0.43915,1.16995,0.0019208,0.0019208,0.0019208
6,259.899,0.92026,0.51779,1.11777,0.94034,0.92389,0.96501,0.71708,0.95586,0.53911,1.21917,0.001901,0.001901,0.001901
7,300.717,0.91946,0.50075,1.1163,0.9871,0.98577,0.99417,0.77401,0.84714,0.39437,1.13562,0.0018812,0.0018812,0.0018812
8,338.787,0.89582,0.48385,1.10565,0.98535,0.9454,0.98156,0.74483,0.90889,0.46354,1.17227,0.0018614,0.0018614,0.0018614
9,376.893,0.88221,0.46114,1.08683,0.99043,0.9719,0.99194,0.77427,0.8487,0.4018,1.13207,0.0018416,0.0018416,0.0018416
10,414.796,0.87364,0.45842,1.08794,0.99297,0.99279,0.99487,0.78807,0.81989,0.35484,1.11471,0.0018218,0.0018218,0.0018218
11,453.146,0.85149,0.4436,1.08102,0.99644,0.98421,0.99473,0.79192,0.81079,0.37115,1.12346,0.001802,0.001802,0.001802
12,492.873,0.86171,0.44733,1.08003,0.99528,0.98685,0.99489,0.80319,0.80896,0.34026,1.09943,0.0017822,0.0017822,0.0017822
13,531.433,0.83906,0.43269,1.0727,0.99407,0.98212,0.99464,0.78162,0.79873,0.38884,1.09997,0.0017624,0.0017624,0.0017624
14,570.491,0.85221,0.44138,1.08122,0.99411,0.98847,0.99492,0.79945,0.78605,0.34146,1.09067,0.0017426,0.0017426,0.0017426
15,611.627,0.84615,0.42563,1.07713,0.98925,0.99415,0.99486,0.80006,0.80044,0.33289,1.10152,0.0017228,0.0017228,0.0017228
16,649.815,0.83502,0.42079,1.07154,0.99059,0.98613,0.99462,0.78896,0.7997,0.3374,1.1023,0.001703,0.001703,0.001703
17,688.148,0.81797,0.41247,1.06594,0.99391,0.99063,0.99491,0.79877,0.81415,0.34353,1.10552,0.0016832,0.0016832,0.0016832
18,726.227,0.81528,0.41323,1.06376,0.9941,0.986,0.99468,0.79953,0.78685,0.34081,1.08386,0.0016634,0.0016634,0.0016634
19,764.335,0.80955,0.40594,1.06117,0.99411,0.9918,0.99489,0.80745,0.75442,0.3216,1.06531,0.0016436,0.0016436,0.0016436
20,802.625,0.80787,0.40879,1.05673,0.99649,0.99616,0.99496,0.81166,0.7669,0.31434,1.08138,0.0016238,0.0016238,0.0016238
21,840.573,0.79901,0.39889,1.05445,0.99857,0.99649,0.995,0.80784,0.75754,0.29833,1.06752,0.001604,0.001604,0.001604
22,878.898,0.79312,0.39464,1.05867,0.99497,0.99415,0.99498,0.79744,0.78021,0.3318,1.08504,0.0015842,0.0015842,0.0015842
23,916.966,0.7933,0.39186,1.05332,0.99529,0.99079,0.99492,0.79745,0.77018,0.32666,1.07523,0.0015644,0.0015644,0.0015644
24,955.137,0.78723,0.3906,1.04738,0.99354,0.99532,0.99496,0.8331,0.73053,0.30058,1.0549,0.0015446,0.0015446,0.0015446
25,993.172,0.77716,0.38082,1.04669,0.99182,0.99327,0.99494,0.82046,0.76486,0.30125,1.07371,0.0015248,0.0015248,0.0015248
26,1031.32,0.77602,0.38386,1.0475,0.9962,0.9918,0.99495,0.82469,0.74917,0.31034,1.06343,0.001505,0.001505,0.001505
